"year","latitude","longitude","elevation","avg_temp"
"1990",41.3322,-120.4725,1332.6,65.4333333333333
"1990",41.3378,-122.82484,940.3,64.8
"1990",41.3619,-124.0191,48.8,59.3
"1990",41.39,-123.4958,280.4,72.6
"1990",41.4219,-120.9016,1313.7,64.8333333333333
"1990",41.4789,-122.4539,893.1,68.1
"1990",41.49021,-120.54376,1332.9,63.5
"1990",41.5301,-120.1791,1428.9,66.9666666666667
"1990",41.57861,-124.07472,8.5,60.9333333333333
"1990",41.58,-120.3,2142.7,60
"1990",41.5992,-122.9336,1287.8,67.2666666666667
"1990",41.6853,-122.5942,914.4,72.6
"1990",41.70237,-122.64169,826.6,68.0666666666667
"1990",41.71171,-121.5067,1455.4,63.7
"1990",41.78339,-122.0446,1300,59.25
"1990",41.7861,-122.0056,1645.9,64.1666666666667
"1990",41.7958,-124.2147,13.1,59.0666666666667
"1990",41.79612,-123.37469,348.1,68.9666666666667
"1990",41.8386,-122.85,591.3,70
"1990",41.8586,-123.3525,1423.4,62.9
"1990",41.8715,-120.1574,1444.4,65.1
"1990",41.99,-120.18,2243.3,55.7
"1990",41.9919,-123.6036,1210.1,62.3333333333333
"1991",32.6058,-116.6089,714.8,69.2
"1991",32.6263,-116.4699,801.6,67.3666666666667
"1991",32.64,-117.0858,17.1,67.2666666666667
"1991",32.69219,-117.20983,4.4,66.1333333333333
"1991",32.7336,-117.1831,4.6,66.8
"1991",32.76654,-115.56638,-9.1,90.2
"1991",32.7675,-117.0233,161.5,68.2
"1991",32.8005,-116.928,150.9,71.0333333333333
"1991",32.8358,-116.7774,516.6,69.4
"1991",32.8488,-115.5666,-19.5,87.2333333333333
"1991",32.86667,-117.13333,145.4,68.9666666666667
"1991",32.88333,-114.86667,147.8,89.7
"1991",32.8856,-116.8149,182.9,72.4666666666667
"1991",32.9083,-114.4944,91.4,90.7666666666667
"1991",32.95,-114.7322,256,87.5333333333333
"1991",32.9544,-115.5581,-30.5,85.8666666666667
"1991",32.9897,-116.5872,1414.3,64.5666666666667
"1991",32.9903,-116.0669,231.6,90.9333333333333
"1991",33.0113,-116.908,448.1,66.9
"1991",33.0763,-116.5925,1284.7,67.0333333333333
"1991",33.0955,-116.9975,128,71.3333333333333
"1991",33.121,-117.09,182.9,70.1
"1991",33.2097,-117.395,3,63.05
"1991",33.2354,-117.2322,131.1,69.0333333333333
"1991",33.2372,-117.0086,452,70
"1991",33.2372,-116.7614,823,68.7333333333333
"1991",33.2559,-116.4036,246.9,87.8
"1991",33.30424,-117.35508,21.4,69.7
"1991",33.378,-116.84,1691.6,67.8666666666667
"1991",33.3861,-116.7916,838.2,72.4
"1991",33.5453,-117.7813,13.4,66.6666666666667
"1991",33.5697,-116.073,-55.8,87.6333333333333
"1991",33.6031,-117.8836,3,63.4666666666667
"1991",33.61388,-114.59813,81.7,88.1666666666667
"1991",33.61876,-114.71451,120.4,89.4666666666667
